IQ,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Prev_Sem_Result_%
91,2,No,2,8,0,Not Placed,97.6
101,2,No,5,10,4,Placed,91.2
92,10,No,5,8,4,Not Placed,74.1
76,9,No,0,2,1,Not Placed,83.7
101,1,No,3,7,1,Not Placed,71.7
84,10,Yes,0,8,3,Not Placed,77.9
107,5,Yes,6,4,1,Not Placed,52.9
86,7,No,6,3,1,Not Placed,84.8
123,10,Yes,5,10,1,Not Placed,52.6
88,6,No,10,9,3,Placed,90.9
95,6,No,1,2,0,Not Placed,91.2
112,6,No,3,3,5,Not Placed,61.9
81,8,No,2,8,2,Not Placed,66.2
103,7,Yes,10,2,0,Not Placed,74.1
119,5,No,7,5,5,Placed,79.8
75,10,No,1,10,5,Not Placed,64.4
102,2,Yes,9,8,0,Not Placed,79.6
103,10,No,1,7,0,Not Placed,64.9
111,6,Yes,0,4,4,Not Placed,52.8
81,10,No,8,10,2,Not Placed,50.1
80,5,No,2,9,2,Not Placed,55.1
107,4,Yes,7,2,4,Not Placed,89.6
104,10,No,6,7,5,Not Placed,98.1
103,5,No,0,7,4,Not Placed,71.3
105,9,No,10,7,5,Not Placed,75.6
89,2,Yes,5,7,1,Not Placed,57.3
103,6,No,7,5,4,Not Placed,77.6
104,9,No,5,1,3,Not Placed,57.2
89,10,No,8,4,4,Not Placed,80.6
127,5,Yes,9,5,1,Not Placed,96.7
107,6,No,2,10,4,Not Placed,59.8
82,10,No,5,4,3,Not Placed,88.2
109,4,Yes,9,7,4,Not Placed,51.2
85,5,No,3,2,5,Not Placed,68.8
111,8,No,9,2,0,Not Placed,55.5
117,1,Yes,2,2,2,Not Placed,67.6
87,1,Yes,7,10,3,Not Placed,58.7
114,10,Yes,6,3,3,Not Placed,68.7
106,4,Yes,6,5,3,Not Placed,70.9
112,10,Yes,4,10,5,Placed,65
128,3,Yes,0,9,0,Placed,82.8
96,5,Yes,5,3,0,Not Placed,95.9
88,10,Yes,5,6,2,Not Placed,70
86,8,Yes,2,6,1,Not Placed,59.6
87,1,No,4,6,2,Not Placed,63.5
98,5,No,8,5,3,Not Placed,92.7
105,5,No,6,2,3,Not Placed,78.6
104,2,Yes,7,1,3,Not Placed,72.8
112,5,Yes,8,5,2,Not Placed,57.5
100,8,Yes,5,8,1,Not Placed,72.5
121,10,Yes,4,10,1,Not Placed,63.9
96,7,No,9,5,2,Not Placed,97.2
140,2,No,4,3,5,Placed,94.2
109,6,Yes,4,3,3,Not Placed,54.2
87,10,No,3,2,2,Not Placed,75.8
83,1,No,1,7,2,Not Placed,61.3
107,10,No,6,2,4,Not Placed,70.5
96,10,Yes,6,6,4,Not Placed,93.8
110,3,Yes,7,8,0,Not Placed,76.4
107,6,No,7,8,0,Not Placed,66.7
98,9,Yes,10,2,2,Not Placed,60.4
87,1,No,7,6,4,Not Placed,90
77,6,Yes,8,3,3,Not Placed,81.2
93,2,Yes,5,9,0,Not Placed,73.4
112,9,Yes,3,3,3,Not Placed,60.9
103,2,Yes,1,1,3,Not Placed,66.7
81,3,No,4,9,0,Not Placed,98
102,2,Yes,5,8,5,Not Placed,76
105,4,Yes,6,2,2,Not Placed,70
86,4,No,5,10,4,Not Placed,76.1
102,10,Yes,3,10,0,Not Placed,88.9
100,1,Yes,3,3,1,Not Placed,67
82,8,Yes,6,7,1,Not Placed,58.9
105,5,Yes,0,6,3,Not Placed,79.2
108,8,No,2,8,1,Not Placed,83.3
116,6,Yes,9,10,3,Placed,85.6
115,2,No,1,5,5,Placed,94.1
79,7,No,1,5,5,Not Placed,68.6
85,10,No,6,2,5,Not Placed,53.8
107,9,No,4,6,5,Not Placed,97.9
107,7,Yes,2,5,5,Not Placed,71.8
107,5,No,8,9,4,Not Placed,81.2
157,4,No,8,3,0,Not Placed,83.3
108,8,No,2,5,0,Not Placed,77.3
117,6,No,1,3,4,Not Placed,60.3
114,5,Yes,2,9,3,Placed,87.8
109,7,Yes,8,9,5,Placed,90.2
95,3,Yes,7,10,2,Not Placed,77.6
111,9,No,2,7,1,Not Placed,74.4
88,4,No,3,1,5,Not Placed,55.7
96,4,No,4,9,4,Not Placed,54.2
92,8,No,3,9,1,Not Placed,67
101,6,Yes,10,10,2,Not Placed,65.5
134,1,Yes,1,5,3,Placed,97.7
71,2,No,10,2,5,Not Placed,89.2
110,9,No,8,1,1,Not Placed,83
75,6,No,1,2,3,Not Placed,75.9
92,7,Yes,4,4,5,Not Placed,58.4
116,9,No,10,4,2,Placed,98.9
100,3,Yes,8,1,3,Not Placed,68.8
83,5,Yes,7,8,2,Not Placed,55.3
89,5,Yes,0,10,0,Not Placed,74.7
110,10,No,2,8,1,Not Placed,93.7
89,7,Yes,9,8,1,Not Placed,94.4
103,2,Yes,8,5,2,Not Placed,50.5
100,4,No,2,10,2,Placed,94.3
90,4,No,10,2,4,Not Placed,63.6
132,8,Yes,3,4,2,Not Placed,51.9
109,10,Yes,2,1,2,Not Placed,92.4
69,3,No,6,10,3,Placed,93.2
102,2,No,8,1,3,Not Placed,79.8
90,9,No,3,10,1,Not Placed,78.7
112,4,No,8,3,3,Placed,90.7
88,9,Yes,1,4,3,Not Placed,89.3
98,6,No,1,3,1,Not Placed,94.5
107,1,No,8,3,5,Not Placed,77.6
112,3,No,6,8,0,Placed,98.4
81,7,No,4,4,4,Not Placed,99.8
94,9,Yes,4,3,3,Not Placed,55.8
92,8,Yes,8,9,0,Not Placed,92.5
90,5,Yes,10,1,4,Not Placed,75
126,8,Yes,3,8,1,Not Placed,69.4
106,2,No,10,5,3,Not Placed,80.7
81,3,No,0,8,5,Not Placed,52.8
113,8,No,5,10,3,Placed,75.3
131,9,Yes,2,3,2,Placed,93.5
115,10,No,1,6,3,Not Placed,60.7
77,8,Yes,3,7,3,Not Placed,71.3
92,4,Yes,8,8,0,Not Placed,97
119,6,No,7,7,0,Not Placed,71.4
89,5,Yes,6,7,3,Not Placed,67.9
106,4,No,1,2,5,Not Placed,72
111,9,Yes,0,3,4,Not Placed,76
86,10,No,6,6,1,Not Placed,81.6
99,3,No,9,3,5,Not Placed,90
51,1,No,4,9,0,Not Placed,72.6
84,7,No,10,9,5,Placed,90.9
96,10,Yes,7,6,5,Not Placed,76.7
81,8,Yes,4,1,4,Not Placed,66.9
124,3,No,9,1,5,Placed,82.9
78,3,No,4,4,3,Not Placed,85.9
93,6,No,7,10,2,Not Placed,77.9
101,2,No,8,8,0,Not Placed,52.8
121,6,No,1,3,5,Not Placed,58.5
78,5,No,7,4,0,Not Placed,64.3
117,7,No,6,6,2,Not Placed,64.1
100,9,No,7,9,3,Placed,83.7
85,9,No,2,4,0,Not Placed,50.9
106,1,No,3,3,3,Not Placed,87.8
102,7,No,6,10,4,Not Placed,63.3
90,3,No,4,10,0,Not Placed,65.5
101,4,Yes,6,9,3,Not Placed,76.4
94,2,Yes,5,7,4,Not Placed,60.8
101,1,No,3,9,5,Placed,94.2
109,10,Yes,1,10,0,Not Placed,54.3
123,3,Yes,5,6,1,Not Placed,72.2
81,10,No,5,4,3,Not Placed,92.5
131,9,No,5,5,4,Placed,80.8
70,1,Yes,0,10,5,Not Placed,64.6
97,3,No,5,2,1,Not Placed,71
108,5,Yes,1,3,3,Not Placed,85.3
104,3,No,9,5,0,Not Placed,98.7
90,4,No,4,3,5,Not Placed,94.7
96,4,No,6,3,3,Not Placed,67.1
92,1,Yes,9,9,4,Placed,99.9
91,6,Yes,0,4,0,Not Placed,50.2
112,7,Yes,4,4,0,Not Placed,51.4
105,7,Yes,8,1,5,Not Placed,91.2
89,6,No,2,7,0,Not Placed,60
113,7,No,1,10,2,Placed,53
104,3,Yes,9,9,4,Not Placed,61.9
112,5,Yes,1,8,1,Not Placed,71.3
109,7,Yes,2,2,0,Not Placed,86.5
87,10,No,0,6,4,Not Placed,81.2
91,5,Yes,1,10,2,Not Placed,61.9
111,10,Yes,5,10,2,Placed,75.2
109,2,Yes,7,5,5,Not Placed,96.3
99,6,No,3,8,0,Not Placed,90.8
101,7,Yes,1,1,4,Not Placed,66.2
119,2,No,4,9,2,Placed,99.1
91,10,No,2,9,0,Not Placed,85.4
108,8,Yes,4,7,5,Not Placed,53.1
96,5,Yes,2,8,3,Not Placed,51.8
96,8,No,10,9,3,Not Placed,58.4
116,3,No,3,5,3,Placed,86.4
112,2,Yes,4,2,1,Not Placed,59.2
112,7,Yes,6,1,4,Not Placed,75.6
119,5,Yes,1,5,5,Not Placed,54.7
100,5,No,5,8,3,Placed,96
110,8,No,5,10,2,Not Placed,67.2
95,9,No,5,4,1,Not Placed,95.4
104,8,Yes,6,4,3,Not Placed,97.2
98,10,No,10,4,0,Not Placed,50.3
101,2,No,2,8,2,Not Placed,73.2
108,10,Yes,4,7,1,Not Placed,51.2
87,7,No,8,1,1,Not Placed,95.4
131,5,No,8,10,2,Placed,75.9
84,7,Yes,6,6,3,Not Placed,53.7
81,3,Yes,8,4,5,Not Placed,55.5
117,4,Yes,2,2,5,Not Placed,69.2
111,7,No,6,3,0,Not Placed,97
109,2,No,0,4,0,Not Placed,84.6
109,2,No,6,10,5,Placed,93.4
99,1,Yes,2,7,5,Not Placed,68.3
86,1,No,2,1,0,Not Placed,52.2
101,1,Yes,6,1,1,Not Placed,98.7
89,6,Yes,7,3,3,Not Placed,50.9
114,5,Yes,3,2,5,Placed,97.4
97,10,Yes,0,3,5,Not Placed,68.4
87,8,No,4,3,2,Not Placed,50.5
95,5,Yes,9,1,4,Not Placed,84.5
106,1,Yes,3,6,0,Not Placed,99
91,8,No,8,8,2,Placed,98.3
87,6,No,2,5,5,Not Placed,58
103,8,Yes,3,1,5,Not Placed,59.1
103,2,Yes,9,10,2,Placed,78.3
92,10,Yes,2,7,5,Not Placed,81.9
92,8,No,2,10,0,Not Placed,87
103,6,No,6,9,4,Not Placed,59.1
78,1,No,4,7,1,Not Placed,98
78,1,Yes,4,9,1,Not Placed,81.9
89,10,No,3,10,3,Placed,92.4
96,5,No,9,9,5,Not Placed,77
104,7,Yes,7,2,1,Not Placed,70.7
122,4,No,0,8,2,Placed,98.9
112,10,No,10,7,1,Not Placed,79.1
97,5,No,8,7,3,Not Placed,93.3
99,10,No,10,2,2,Not Placed,97.7
84,3,No,8,1,2,Not Placed,83.8
99,2,No,10,4,4,Not Placed,77.4
95,2,No,4,7,5,Not Placed,50.2
104,5,No,0,6,0,Not Placed,52
87,4,Yes,1,10,0,Not Placed,60
107,2,No,1,2,0,Not Placed,59.3
122,5,Yes,5,7,3,Not Placed,62.7
98,10,Yes,9,10,1,Not Placed,65.2
106,9,No,8,9,0,Not Placed,68
110,8,No,2,2,1,Not Placed,71
93,9,No,7,10,0,Not Placed,54.9
103,9,No,1,5,4,Not Placed,52.1
100,8,No,4,2,1,Not Placed,83.7
101,9,No,3,1,3,Not Placed,76.9
88,4,No,4,7,5,Not Placed,72.2
100,8,Yes,3,2,5,Not Placed,81.7
107,2,No,0,6,3,Not Placed,91.4
121,9,No,0,7,1,Not Placed,71.4
114,9,No,5,1,5,Not Placed,82.1
132,3,No,7,9,3,Placed,97.7
88,6,No,6,6,2,Not Placed,92
113,7,Yes,3,2,3,Not Placed,71.3
102,3,Yes,4,1,4,Not Placed,82.2
132,5,No,7,1,4,Not Placed,58.9
87,1,No,5,2,1,Not Placed,78
87,3,Yes,7,9,3,Placed,99.1
91,8,No,5,2,1,Not Placed,75.9
68,3,No,7,1,0,Not Placed,96.4
92,8,Yes,3,4,2,Not Placed,70.4
88,9,No,9,9,1,Not Placed,99.9
102,6,Yes,1,8,1,Not Placed,79
105,7,No,2,7,1,Not Placed,52.1
128,6,No,4,8,5,Placed,79.3
114,8,No,3,2,1,Not Placed,63.7
91,7,No,4,5,5,Not Placed,51.6
86,10,No,0,7,4,Not Placed,91
107,1,No,0,1,2,Not Placed,63.8
80,3,Yes,1,6,0,Not Placed,89.8
127,3,No,10,7,2,Not Placed,64.4
117,3,No,1,8,1,Not Placed,59.7
92,4,Yes,7,5,4,Not Placed,98.7
74,1,No,9,8,0,Not Placed,68.1
120,2,Yes,3,10,5,Placed,80.1
98,5,No,5,1,1,Not Placed,80.5
118,6,Yes,1,4,5,Not Placed,78
76,9,Yes,0,6,1,Not Placed,95.7
91,2,No,6,4,3,Not Placed,83.7
100,9,No,3,5,2,Not Placed,70.2
100,7,No,3,2,2,Not Placed,93.1
93,9,No,1,7,2,Not Placed,59.1
109,4,Yes,8,9,3,Not Placed,77.2
83,7,Yes,1,7,4,Not Placed,97.5
97,1,Yes,4,1,4,Not Placed,81.3
101,8,No,5,2,4,Not Placed,90.8
107,7,Yes,2,8,5,Placed,82.7
110,7,No,10,1,0,Not Placed,92
83,2,Yes,2,2,3,Not Placed,97.2
76,10,Yes,5,5,3,Not Placed,63.6
119,9,Yes,4,6,4,Not Placed,58.5
104,8,No,4,1,4,Not Placed,74.2
88,1,Yes,4,1,4,Not Placed,85.1
123,1,Yes,8,2,3,Not Placed,61.4
101,5,No,7,3,4,Not Placed,50.2
117,2,Yes,3,9,2,Placed,67.1
101,1,No,5,3,4,Not Placed,98.4
130,10,No,4,8,2,Placed,84.7
126,8,Yes,10,6,1,Not Placed,70.1
96,4,No,5,10,1,Not Placed,59.6
114,2,No,10,5,3,Not Placed,67.8
109,5,No,7,9,0,Not Placed,58.5
120,6,Yes,5,8,5,Placed,55.3
85,8,Yes,5,3,1,Not Placed,95.3
110,7,No,1,7,3,Not Placed,99.9
115,7,Yes,6,4,3,Not Placed,58.2
73,1,No,2,8,2,Not Placed,52.7
82,3,No,6,7,2,Not Placed,66.5
69,3,Yes,4,3,4,Not Placed,73.1
95,7,No,3,7,5,Not Placed,60.2
110,2,Yes,9,6,1,Not Placed,65.1
122,10,Yes,0,6,2,Not Placed,60
101,7,No,7,10,0,Not Placed,88.7
124,9,Yes,1,3,5,Placed,85.6
79,1,No,9,4,3,Not Placed,81.7
74,2,No,7,4,5,Not Placed,69.4
99,6,No,6,6,4,Not Placed,95.5
105,2,No,2,9,2,Placed,98.5
99,2,Yes,10,5,2,Not Placed,58.7
68,5,No,6,8,2,Not Placed,61.2
98,7,No,0,5,5,Not Placed,76.3
80,4,Yes,4,6,1,Not Placed,54.6
110,6,Yes,1,6,5,Not Placed,71.8
105,3,No,1,4,2,Not Placed,79.1
85,4,Yes,2,10,5,Not Placed,76.1
92,4,No,6,10,3,Not Placed,66.5
84,4,No,1,5,2,Not Placed,77.1
99,1,Yes,3,4,5,Not Placed,97.9
114,4,No,3,2,0,Not Placed,60.3
85,4,Yes,0,2,2,Not Placed,82.7
107,6,Yes,6,8,4,Not Placed,52.2
92,9,No,3,4,4,Not Placed,53.3
88,10,Yes,0,9,0,Not Placed,77.6
98,6,No,2,6,4,Not Placed,55.2
84,6,No,7,5,1,Not Placed,51.1
91,7,No,3,7,3,Not Placed,58.6
82,7,Yes,0,6,3,Not Placed,78.2
129,1,No,6,4,1,Not Placed,85.2
100,8,No,7,10,4,Not Placed,60.1
89,1,No,4,9,0,Not Placed,83.4
103,9,Yes,8,6,0,Not Placed,59.1
98,4,No,6,3,3,Not Placed,80.7
96,9,No,3,4,5,Not Placed,70.6
109,8,No,8,4,0,Not Placed,82.7
111,9,Yes,5,8,1,Placed,99.8
92,6,Yes,10,5,3,Not Placed,96.9
91,9,Yes,7,8,2,Not Placed,50.2
95,4,Yes,1,8,1,Not Placed,94.3
65,3,Yes,4,6,1,Not Placed,53.3
77,3,No,2,5,0,Not Placed,97.7
120,8,No,4,2,5,Not Placed,64.1
124,2,Yes,7,1,0,Not Placed,69.1
96,6,No,5,7,0,Not Placed,54.6
108,9,Yes,0,10,2,Not Placed,55.6
104,9,No,6,10,1,Not Placed,86.3
146,8,Yes,9,7,4,Placed,97.2
116,8,Yes,0,2,3,Not Placed,80.5
98,1,Yes,0,3,0,Not Placed,85.8
85,7,No,3,8,0,Not Placed,88.1
75,1,No,8,4,1,Not Placed,63.1
103,9,No,7,5,2,Not Placed,52.3
88,3,No,9,7,0,Not Placed,50.1
78,1,No,2,8,2,Not Placed,67.5
90,8,No,5,1,2,Not Placed,62.1
83,7,No,0,7,4,Not Placed,53.1
125,2,Yes,9,3,2,Not Placed,59
113,7,Yes,0,5,4,Not Placed,56.2
99,5,No,5,1,3,Not Placed,95.7
122,7,No,4,3,2,Not Placed,57
101,10,Yes,5,5,3,Not Placed,76.9
87,7,No,8,1,2,Not Placed,79.7
122,2,Yes,4,2,4,Placed,77.2
108,2,No,1,3,4,Not Placed,55
84,7,Yes,0,8,3,Not Placed,65.9
97,3,Yes,10,5,1,Not Placed,52.6
86,4,No,1,5,1,Not Placed,69.8
79,7,No,7,3,1,Not Placed,59.4
113,2,No,0,9,2,Placed,78.1
128,2,No,5,9,1,Placed,84.6
79,9,No,4,2,3,Not Placed,76.6
108,1,No,9,8,1,Not Placed,71.7
90,3,Yes,10,1,3,Not Placed,69.4
92,10,Yes,8,5,3,Not Placed,92.1
91,4,No,3,7,5,Not Placed,61
87,5,No,4,8,2,Placed,86.7
100,3,No,4,8,5,Placed,87.9
87,9,Yes,10,6,4,Not Placed,71
104,5,No,1,7,2,Not Placed,64.9
99,7,No,10,4,2,Not Placed,73.5
96,7,Yes,1,10,0,Not Placed,54.7
86,9,No,8,7,1,Not Placed,52.3
91,2,No,2,7,1,Not Placed,55.6
111,3,No,5,9,3,Placed,59.4
107,4,Yes,3,2,4,Not Placed,75.2
85,8,No,3,8,5,Placed,92.5
101,1,Yes,4,9,1,Not Placed,61.8
111,9,No,4,3,1,Not Placed,96.8
74,5,Yes,6,8,4,Placed,97.7
108,4,No,6,1,1,Not Placed,97.9
90,8,No,0,10,0,Not Placed,91.9
108,9,No,5,5,1,Not Placed,68.2
88,3,No,3,1,0,Not Placed,53.6
72,4,Yes,1,1,2,Not Placed,78.4
75,1,Yes,5,6,2,Not Placed,77.9
100,3,No,6,5,0,Not Placed,92.5
103,10,No,1,5,5,Not Placed,99.8
86,5,No,1,2,5,Not Placed,75.4
109,8,No,9,10,3,Not Placed,67.3
75,1,Yes,10,9,0,Not Placed,59.3
99,1,Yes,6,5,3,Not Placed,50.2
81,3,Yes,8,3,4,Not Placed,75.5
90,9,No,2,7,4,Not Placed,77.8
100,9,No,2,6,0,Not Placed,91.2
87,1,No,7,6,3,Not Placed,75.2
94,4,No,1,5,2,Not Placed,95.8
115,8,No,8,4,0,Not Placed,81.4
91,2,No,6,6,0,Not Placed,92
112,4,Yes,7,7,3,Not Placed,57.4
83,7,No,8,8,4,Placed,92.8
107,7,No,2,2,5,Not Placed,83.8
121,5,Yes,5,4,2,Not Placed,58.5
62,7,No,7,7,3,Not Placed,59.5
88,6,No,0,3,3,Not Placed,96.3
108,2,No,5,5,2,Not Placed,51.6
96,9,Yes,2,10,5,Not Placed,73.1
105,5,No,7,7,5,Not Placed,65.7
90,2,No,8,9,0,Not Placed,83.3
101,6,No,4,6,0,Not Placed,92
97,10,Yes,1,2,1,Not Placed,68
117,5,Yes,6,9,2,Placed,71.3
103,2,No,5,6,3,Not Placed,99.1
105,10,No,5,10,1,Not Placed,89.2
93,10,No,0,2,1,Not Placed,94.9
92,7,No,0,1,1,Not Placed,71.9
93,10,No,5,4,0,Not Placed,61.7
105,2,Yes,5,2,4,Not Placed,70.6
93,7,Yes,3,7,1,Not Placed,85.8
104,6,Yes,7,7,3,Not Placed,55.5
131,4,Yes,8,3,5,Not Placed,63.5
113,4,No,5,10,0,Not Placed,52.3
95,6,No,9,1,5,Not Placed,71.6
118,9,No,7,2,4,Placed,91.4
93,10,Yes,7,8,4,Not Placed,51.2
69,6,Yes,1,4,1,Not Placed,83.8
84,6,Yes,3,3,1,Not Placed,96.6
71,1,No,0,10,0,Not Placed,61.8
94,5,Yes,0,7,1,Not Placed,84.7
100,1,No,5,10,0,Not Placed,98.8
125,9,No,6,4,4,Placed,98.1
104,10,No,4,2,3,Not Placed,61.7
96,4,Yes,7,3,3,Not Placed,55
112,2,No,8,4,2,Not Placed,57.4
66,9,No,3,1,5,Not Placed,85.1
103,6,Yes,0,8,2,Placed,86.3
111,10,Yes,5,8,2,Placed,83.7
77,3,No,0,5,3,Not Placed,66.8
117,2,Yes,1,6,1,Not Placed,58.5
105,6,Yes,10,4,0,Not Placed,79
93,10,Yes,3,3,3,Not Placed,74.2
109,6,Yes,3,3,2,Not Placed,86.4
134,9,Yes,5,4,2,Not Placed,72.1
102,5,No,7,6,5,Not Placed,66.9
103,9,No,2,2,1,Not Placed,64.7
93,5,No,5,6,2,Not Placed,60.6
87,2,Yes,2,8,2,Not Placed,63.3
112,1,Yes,1,9,0,Not Placed,54.7
87,9,Yes,3,4,1,Not Placed,67.3
101,10,No,3,5,4,Not Placed,51.8
92,7,Yes,1,8,4,Not Placed,59.3
107,3,No,10,10,2,Placed,87.3
105,6,Yes,2,2,2,Not Placed,66.3
115,10,No,8,10,0,Placed,83.4
92,4,No,9,2,4,Not Placed,85.8
95,9,Yes,8,9,1,Not Placed,79.1
85,2,No,9,6,1,Not Placed,97.9
93,4,No,6,10,3,Not Placed,51.1
105,1,No,1,9,5,Placed,86.9
111,7,No,4,10,3,Placed,97.9
86,4,Yes,7,7,1,Not Placed,93.1
113,5,No,0,5,3,Not Placed,58.4
120,1,Yes,0,9,5,Placed,66.3
106,2,Yes,10,9,5,Not Placed,58.6
128,4,Yes,10,2,0,Not Placed,80.1
88,2,Yes,5,8,2,Placed,85.6
81,1,Yes,6,8,1,Not Placed,65.9
73,10,No,6,2,4,Not Placed,77
122,1,No,2,10,4,Placed,84.5
109,6,No,9,7,1,Not Placed,71.1
99,2,No,3,1,3,Not Placed,92.7
104,3,No,8,5,3,Not Placed,88.6
83,5,Yes,10,5,1,Not Placed,53.2
136,3,Yes,9,10,1,Placed,81.1
101,6,No,3,5,1,Not Placed,61.8
101,7,No,4,2,0,Not Placed,77.9
110,10,Yes,5,3,4,Not Placed,97.8
107,6,Yes,6,6,0,Not Placed,94
103,2,Yes,4,1,5,Not Placed,70.2
88,9,No,6,6,0,Not Placed,64.6
